wavelength_nm,irradiance_w_m2_nm
280.0,2.5361e-26
280.5,1.0917e-24
281.0,6.1253e-24
281.5,2.7479e-22
282.0,2.8346e-21
282.5,1.3271e-20
283.0,6.7646e-20
283.5,1.4614e-19
284.0,4.9838e-18
284.5,2.1624e-17
285.0,8.9998e-17
285.5,6.4424e-16
286.0,2.3503e-15
286.5,1.8458e-14
287.0,7.2547e-14
287.5,3.6618e-13
288.0,2.8061e-12
288.5,9.0651e-12
289.0,3.4978e-11
289.5,1.5368e-10
290.0,5.1454e-10
290.5,1.3303e-09
291.0,3.8965e-09
291.5,1.4425e-08
292.0,4.0789e-08
292.5,7.0414e-08
293.0,1.576e-07
293.5,4.7095e-07
294.0,9.4558e-07
294.5,1.5965e-06
295.0,3.2246e-06
295.5,8.0206e-06
296.0,1.4737e-05
296.5,2.3312e-05
297.0,3.3187e-05
297.5,6.7912e-05
298.0,0.00011127
298.5,0.0001427
299.0,0.00020323
299.5,0.00037386
300.0,0.00045631
300.5,0.00057207
301.0,0.00091926
301.5,0.0013201
302.0,0.001457
302.5,0.002191
303.0,0.0037332
303.5,0.0048044
304.0,0.0050973
304.5,0.0064675
305.0,0.0089336
305.5,0.010186
306.0,0.01015
306.5,0.011568
307.0,0.015246
307.5,0.019468
308.0,0.020753
308.5,0.02275
309.0,0.022298
309.5,0.023672
310.0,0.027826
310.5,0.035879
311.0,0.045392
311.5,0.046156
312.0,0.050898
312.5,0.053766
313.0,0.058323
313.5,0.058999
314.0,0.065266
314.5,0.070476
315.0,0.073686
315.5,0.064833
316.0,0.067088
316.5,0.081118
317.0,0.09302
317.5,0.099712
318.0,0.095815
318.5,0.10005
319.0,0.10971
319.5,0.10693
320.0,0.11277
320.5,0.13305
321.0,0.13414
321.5,0.12817
322.0,0.122
322.5,0.1197
323.0,0.11623
323.5,0.13393
324.0,0.14852
324.5,0.15467
325.0,0.15504
325.5,0.17936
326.0,0.20868
326.5,0.22162
327.0,0.21834
327.5,0.21285
328.0,0.19773
328.5,0.20675
329.0,0.23297
329.5,0.25864
330.0,0.26192
330.5,0.24103
331.0,0.22835
331.5,0.23635
332.0,0.24508
332.5,0.24655
333.0,0.24263
333.5,0.23265
334.0,0.23823
334.5,0.25434
335.0,0.26477
335.5,0.25894
336.0,0.23813
336.5,0.22099
337.0,0.21767
337.5,0.23434
338.0,0.25321
338.5,0.26549
339.0,0.27096
339.5,0.27847
340.0,0.29659
340.5,0.29674
341.0,0.27932
341.5,0.27853
342.0,0.29121
342.5,0.30296
343.0,0.30857
343.5,0.29246
344.0,0.25352
344.5,0.24439
345.0,0.27854
345.5,0.29761
346.0,0.29132
346.5,0.29747
347.0,0.30318
347.5,0.29351
348.0,0.29306
348.5,0.29884
349.0,0.28864
349.5,0.2972
350.0,0.32913
350.5,0.35471
351.0,0.34603
351.5,0.33388
352.0,0.32674
352.5,0.30954
353.0,0.32975
353.5,0.36351
354.0,0.38523
354.5,0.39043
355.0,0.3914
355.5,0.37878
356.0,0.35627
356.5,0.33495
357.0,0.29527
357.5,0.2995
358.0,0.27936
358.5,0.25998
359.0,0.3065
359.5,0.37013
360.0,0.3924
360.5,0.37167
361.0,0.34278
361.5,0.33647
362.0,0.3535
362.5,0.38804
363.0,0.40005
363.5,0.38994
364.0,0.40472
364.5,0.40179
365.0,0.4181
365.5,0.4611
366.0,0.49508
366.5,0.49694
367.0,0.48869
367.5,0.48041
368.0,0.45319
368.5,0.45106
369.0,0.47244
369.5,0.50856
370.0,0.51666
370.5,0.46798
371.0,0.47628
371.5,0.49587
372.0,0.46506
372.5,0.44389
373.0,0.42833
373.5,0.38682
374.0,0.38651
374.5,0.38435
375.0,0.41087
375.5,0.45514
376.0,0.47218
376.5,0.46538
377.0,0.50014
377.5,0.5589
378.0,0.60314
378.5,0.58892
379.0,0.52616
379.5,0.47255
380.0,0.49751
380.5,0.53396
381.0,0.54424
381.5,0.49135
382.0,0.41958
382.5,0.36361
383.0,0.32648
383.5,0.31658
384.0,0.36689
384.5,0.44239
385.0,0.48638
385.5,0.46549
386.0,0.44984
386.5,0.46848
387.0,0.47343
387.5,0.46731
388.0,0.4635
388.5,0.46096
389.0,0.50121
389.5,0.55637
390.0,0.58457
390.5,0.59038
391.0,0.62634
391.5,0.63617
392.0,0.58656
392.5,0.48961
393.0,0.35502
393.5,0.28272
394.0,0.3678
394.5,0.50811
395.0,0.60096
395.5,0.64101
396.0,0.56443
396.5,0.41101
397.0,0.31882
397.5,0.47151
398.0,0.63944
398.5,0.75622
399.0,0.80408
399.5,0.8298
400.0,0.83989
401.0,0.87691
402.0,0.91387
403.0,0.88211
404.0,0.89849
405.0,0.87849
406.0,0.85878
407.0,0.84545
408.0,0.88488
409.0,0.94717
410.0,0.8091
411.0,0.9077
412.0,0.96686
413.0,0.92951
414.0,0.92134
415.0,0.95569
416.0,0.98628
417.0,0.96392
418.0,0.92392
419.0,0.96354
420.0,0.88467
421.0,1.0067
422.0,0.99499
423.0,0.96531
424.0,0.96182
425.0,0.99312
426.0,0.96667
427.0,0.9355
428.0,0.94625
429.0,0.87766
430.0,0.70134
431.0,0.63779
432.0,1.0628
433.0,0.9905
434.0,0.91653
435.0,1.007
436.0,1.1061
437.0,1.1306
438.0,0.99368
439.0,0.95753
440.0,1.0993
441.0,1.0859
442.0,1.164
443.0,1.1823
444.0,1.1537
445.0,1.1992
446.0,1.0766
447.0,1.2257
448.0,1.2422
449.0,1.2409
450.0,1.2881
451.0,1.3376
452.0,1.2822
453.0,1.1854
454.0,1.273
455.0,1.2655
456.0,1.3088
457.0,1.3213
458.0,1.2946
459.0,1.2859
460.0,1.2791
461.0,1.3255
462.0,1.3392
463.0,1.3452
464.0,1.3055
465.0,1.2905
466.0,1.319
467.0,1.2616
468.0,1.3178
469.0,1.3247
470.0,1.2749
471.0,1.2975
472.0,1.3661
473.0,1.3144
474.0,1.3304
475.0,1.3755
476.0,1.3299
477.0,1.3392
478.0,1.3839
479.0,1.3586
480.0,1.3825
481.0,1.3836
482.0,1.3899
483.0,1.3742
484.0,1.3492
485.0,1.3457
486.0,1.0918
487.0,1.2235
488.0,1.3252
489.0,1.2492
490.0,1.3968
491.0,1.3435
492.0,1.2818
493.0,1.3719
494.0,1.3402
495.0,1.4238
496.0,1.3548
497.0,1.3788
498.0,1.3421
499.0,1.3429
500.0,1.3391
501.0,1.299
502.0,1.2991
503.0,1.3597
504.0,1.2682
505.0,1.3598
506.0,1.4153
507.0,1.3548
508.0,1.321
509.0,1.385
510.0,1.3497
511.0,1.3753
512.0,1.4125
513.0,1.3277
514.0,1.3003
515.0,1.3385
516.0,1.3514
517.0,1.1017
518.0,1.2605
519.0,1.2222
520.0,1.3349
521.0,1.3452
522.0,1.376
523.0,1.2976
524.0,1.3962
525.0,1.3859
526.0,1.3479
527.0,1.1795
528.0,1.3508
529.0,1.4142
530.0,1.3598
531.0,1.4348
532.0,1.4094
533.0,1.259
534.0,1.3491
535.0,1.3701
536.0,1.4292
537.0,1.3229
538.0,1.3896
539.0,1.3558
540.0,1.3096
541.0,1.2595
542.0,1.3714
543.0,1.3493
544.0,1.3971
545.0,1.3657
546.0,1.3536
547.0,1.3717
548.0,1.3331
549.0,1.3752
550.0,1.3648
551.0,1.3639
552.0,1.3923
553.0,1.3533
554.0,1.3802
555.0,1.3883
556.0,1.3651
557.0,1.3321
558.0,1.3613
559.0,1.2885
560.0,1.3118
561.0,1.3885
562.0,1.3225
563.0,1.3731
564.0,1.3466
565.0,1.3555
566.0,1.2823
567.0,1.3673
568.0,1.3554
569.0,1.3228
570.0,1.324
571.0,1.281
572.0,1.3534
573.0,1.3595
574.0,1.3527
575.0,1.3225
576.0,1.3118
577.0,1.3452
578.0,1.304
579.0,1.323
580.0,1.3455
581.0,1.3518
582.0,1.3729
583.0,1.3872
584.0,1.3845
585.0,1.3737
586.0,1.3409
587.0,1.3708
588.0,1.3403
589.0,1.1582
590.0,1.2316
591.0,1.3171
592.0,1.29
593.0,1.3086
594.0,1.3029
595.0,1.287
596.0,1.326
597.0,1.3303
598.0,1.3142
599.0,1.3145
600.0,1.3278
601.0,1.3123
602.0,1.2928
603.0,1.3205
604.0,1.3439
605.0,1.3418
606.0,1.3353
607.0,1.3434
608.0,1.3392
609.0,1.3292
610.0,1.3237
611.0,1.317
612.0,1.337
613.0,1.3182
614.0,1.2783
615.0,1.3254
616.0,1.2906
617.0,1.2744
618.0,1.3228
619.0,1.3292
620.0,1.3299
621.0,1.3359
622.0,1.2882
623.0,1.2793
624.0,1.2751
625.0,1.2667
626.0,1.2655
627.0,1.3022
628.0,1.2328
629.0,1.2758
630.0,1.2589
631.0,1.2799
632.0,1.2327
633.0,1.311
634.0,1.2907
635.0,1.3065
636.0,1.2768
637.0,1.3204
638.0,1.3292
639.0,1.3238
640.0,1.2962
641.0,1.297
642.0,1.2995
643.0,1.313
644.0,1.3074
645.0,1.317
646.0,1.2797
647.0,1.2744
648.0,1.2625
649.0,1.2234
650.0,1.2299
651.0,1.3071
652.0,1.2558
653.0,1.295
654.0,1.2807
655.0,1.222
656.0,1.0727
657.0,1.1218
658.0,1.254
659.0,1.2586
660.0,1.2668
661.0,1.2618
662.0,1.2518
663.0,1.2539
664.0,1.2647
665.0,1.2871
666.0,1.286
667.0,1.2767
668.0,1.281
669.0,1.3032
670.0,1.2853
671.0,1.2829
672.0,1.2651
673.0,1.276
674.0,1.2742
675.0,1.2639
676.0,1.2786
677.0,1.2669
678.0,1.2737
679.0,1.2629
680.0,1.265
681.0,1.2601
682.0,1.2662
683.0,1.2526
684.0,1.2445
685.0,1.2454
686.0,1.2174
687.0,0.88285
688.0,1.0195
689.0,1.026
690.0,1.0746
691.0,1.1201
692.0,1.1516
693.0,1.1446
694.0,1.1318
695.0,1.1538
696.0,1.1513
697.0,1.2151
698.0,1.1961
699.0,1.1721
700.0,1.1636
701.0,1.1489
702.0,1.15
703.0,1.1567
704.0,1.1864
705.0,1.1989
706.0,1.1925
707.0,1.1875
708.0,1.1839
709.0,1.188
710.0,1.1954
711.0,1.1934
712.0,1.1856
713.0,1.1719
714.0,1.1823
715.0,1.1428
716.0,1.1548
717.0,1.0081
718.0,0.93873
719.0,0.84274
720.0,0.8994
721.0,0.98967
722.0,1.1281
723.0,1.0423
724.0,0.96305
725.0,0.94741
726.0,0.98638
727.0,0.98988
728.0,0.94968
729.0,0.95503
730.0,1.0294
731.0,0.97702
732.0,1.052
733.0,1.0901
734.0,1.1261
735.0,1.1101
736.0,1.0994
737.0,1.0978
738.0,1.1184
739.0,1.0855
740.0,1.1119
741.0,1.1078
742.0,1.1084
743.0,1.1316
744.0,1.1408
745.0,1.1404
746.0,1.1381
747.0,1.1389
748.0,1.1323
749.0,1.1286
750.0,1.1273
751.0,1.1224
752.0,1.1265
753.0,1.121
754.0,1.1353
755.0,1.1321
756.0,1.1185
757.0,1.1176
758.0,1.1246
759.0,1.0932
760.0,0.24716
761.0,0.14328
762.0,0.63491
763.0,0.35217
764.0,0.49885
765.0,0.63377
766.0,0.7508
767.0,0.89574
768.0,1.0222
769.0,1.0347
770.0,1.0646
771.0,1.0716
772.0,1.0802
773.0,1.0797
774.0,1.08
775.0,1.0801
776.0,1.0827
777.0,1.0764
778.0,1.0754
779.0,1.0803
780.0,1.0687
781.0,1.0662
782.0,1.0714
783.0,1.0672
784.0,1.0602
785.0,1.0649
786.0,1.0656
787.0,1.053
788.0,1.0399
789.0,1.0359
790.0,1.0045
791.0,1.0179
792.0,1.0084
793.0,1.0015
794.0,1.0101
795.0,1.0066
796.0,0.98985
797.0,1.0057
798.0,1.0245
799.0,1.0048
800.0,0.98859
801.0,0.99978
802.0,1.0011
803.0,0.98288
804.0,0.99452
805.0,0.9727
806.0,1.0122
807.0,1.0018
808.0,0.99844
809.0,0.97353
810.0,0.97488
811.0,0.97273
812.0,0.94882
813.0,0.93236
814.0,0.83681
815.0,0.82927
816.0,0.77171
817.0,0.78984
818.0,0.76299
819.0,0.83844
820.0,0.79899
821.0,0.92292
822.0,0.88081
823.0,0.62576
824.0,0.86619
825.0,0.89752
826.0,0.8653
827.0,0.91178
828.0,0.7887
829.0,0.86135
830.0,0.8493
831.0,0.85666
832.0,0.82961
833.0,0.88622
834.0,0.86608
835.0,0.92917
836.0,0.90135
837.0,0.93493
838.0,0.92585
839.0,0.92783
840.0,0.94124
841.0,0.93626
842.0,0.92411
843.0,0.93171
844.0,0.91434
845.0,0.94226
846.0,0.94447
847.0,0.91947
848.0,0.9201
849.0,0.91447
850.0,0.829
851.0,0.90454
852.0,0.89942
853.0,0.8954
854.0,0.79
855.0,0.84746
856.0,0.90343
857.0,0.92059
858.0,0.92094
859.0,0.92081
860.0,0.91764
861.0,0.91648
862.0,0.92367
863.0,0.92934
864.0,0.90956
865.0,0.89487
866.0,0.78882
867.0,0.85066
868.0,0.8914
869.0,0.88252
870.0,0.89933
871.0,0.88671
872.0,0.89887
873.0,0.88999
874.0,0.87451
875.0,0.86204
876.0,0.88625
877.0,0.88948
878.0,0.88607
879.0,0.87144
880.0,0.87434
881.0,0.84563
882.0,0.86787
883.0,0.86494
884.0,0.86859
885.0,0.87913
886.0,0.84515
887.0,0.84799
888.0,0.85899
889.0,0.87041
890.0,0.86078
891.0,0.86255
892.0,0.84688
893.0,0.81412
894.0,0.79413
895.0,0.75956
896.0,0.71265
897.0,0.6231
898.0,0.67137
899.0,0.51461
900.0,0.69429
901.0,0.56162
902.0,0.625
903.0,0.64483
904.0,0.78862
905.0,0.76337
906.0,0.72502
907.0,0.59833
908.0,0.61091
909.0,0.65912
910.0,0.58553
911.0,0.6258
912.0,0.64508
913.0,0.58906
914.0,0.5874
915.0,0.6355
916.0,0.54099
917.0,0.6835
918.0,0.55612
919.0,0.69161
920.0,0.69657
921.0,0.73004
922.0,0.65584
923.0,0.69698
924.0,0.67571
925.0,0.66621
926.0,0.65875
927.0,0.73684
928.0,0.55363
929.0,0.51792
930.0,0.40679
931.0,0.3854
932.0,0.28386
933.0,0.23459
934.0,0.13604
935.0,0.2369
936.0,0.15267
937.0,0.15453
938.0,0.18962
939.0,0.37591
940.0,0.44411
941.0,0.35071
942.0,0.38192
943.0,0.26289
944.0,0.26987
945.0,0.34729
946.0,0.18409
947.0,0.3501
948.0,0.25911
949.0,0.46514
950.0,0.13944
951.0,0.45563
952.0,0.25418
953.0,0.32442
954.0,0.39988
955.0,0.32204
956.0,0.30996
957.0,0.25591
958.0,0.43453
959.0,0.35294
960.0,0.39685
961.0,0.43481
962.0,0.41664
963.0,0.47585
964.0,0.43242
965.0,0.47469
966.0,0.47377
967.0,0.47353
968.0,0.61301
969.0,0.6448
970.0,0.59689
971.0,0.67059
972.0,0.64629
973.0,0.57081
974.0,0.5417
975.0,0.55536
976.0,0.53872
977.0,0.60084
978.0,0.57903
979.0,0.60046
980.0,0.56941
981.0,0.67058
982.0,0.65102
983.0,0.62915
984.0,0.6929
985.0,0.64734
986.0,0.70553
987.0,0.69489
988.0,0.69059
989.0,0.70391
990.0,0.68843
991.0,0.70833
992.0,0.70597
993.0,0.69325
994.0,0.70891
995.0,0.70673
996.0,0.70409
997.0,0.69555
998.0,0.69481
999.0,0.69455
1000.0,0.69159
1001.0,0.70013
1002.0,0.68498
1003.0,0.69086
1004.0,0.68056
1005.0,0.6414
1006.0,0.67047
1007.0,0.68463
1008.0,0.68407
1009.0,0.67742
1010.0,0.67695
1011.0,0.68034
1012.0,0.67667
1013.0,0.67556
1014.0,0.67848
1015.0,0.66676
1016.0,0.66976
1017.0,0.66237
1018.0,0.67263
1019.0,0.6488
1020.0,0.65839
1021.0,0.66107
1022.0,0.6498
1023.0,0.6549
1024.0,0.65077
1025.0,0.65727
1026.0,0.65625
1027.0,0.65318
1028.0,0.65398
1029.0,0.64687
1030.0,0.65092
1031.0,0.64799
1032.0,0.64852
1033.0,0.63751
1034.0,0.64136
1035.0,0.64348
1036.0,0.64323
1037.0,0.63664
1038.0,0.63361
1039.0,0.63802
1040.0,0.63366
1041.0,0.63379
1042.0,0.63406
1043.0,0.62773
1044.0,0.63067
1045.0,0.62712
1046.0,0.61078
1047.0,0.62008
1048.0,0.62559
1049.0,0.62206
1050.0,0.61802
1051.0,0.61862
1052.0,0.61487
1053.0,0.61302
1054.0,0.61048
1055.0,0.61242
1056.0,0.61055
1057.0,0.6091
1058.0,0.60286
1059.0,0.58453
1060.0,0.60073
1061.0,0.58694
1062.0,0.59782
1063.0,0.58815
1064.0,0.59722
1065.0,0.59461
1066.0,0.5833
1067.0,0.58637
1068.0,0.58561
1069.0,0.55428
1070.0,0.57178
1071.0,0.58304
1072.0,0.58194
1073.0,0.57086
1074.0,0.5878
1075.0,0.56054
1076.0,0.58141
1077.0,0.57175
1078.0,0.57076
1079.0,0.5721
1080.0,0.56519
1081.0,0.54973
1082.0,0.55773
1083.0,0.56603
1084.0,0.54775
1085.0,0.56163
1086.0,0.52496
1087.0,0.53685
1088.0,0.56159
1089.0,0.54856
1090.0,0.52656
1091.0,0.55722
1092.0,0.55048
1093.0,0.48417
1094.0,0.5112
1095.0,0.49363
1096.0,0.47731
1097.0,0.54805
1098.0,0.47709
1099.0,0.48161
1100.0,0.46113
1101.0,0.47169
1102.0,0.44513
1103.0,0.44291
1104.0,0.44412
1105.0,0.48065
1106.0,0.3784
1107.0,0.45866
1108.0,0.39517
1109.0,0.39249
1110.0,0.45496
1111.0,0.31572
1112.0,0.3933
1113.0,0.25599
1114.0,0.28576
1115.0,0.23833
1116.0,0.19223
1117.0,0.076164
1118.0,0.20763
1119.0,0.10821
1120.0,0.13562
1121.0,0.17753
1122.0,0.078159
1123.0,0.12255
1124.0,0.10397
1125.0,0.13794
1126.0,0.049394
1127.0,0.15032
1128.0,0.094946
1129.0,0.10133
1130.0,0.067568
1131.0,0.28201
1132.0,0.22359
1133.0,0.14661
1134.0,0.039988
1135.0,0.014819
1136.0,0.1232
1137.0,0.27472
1138.0,0.19428
1139.0,0.28484
1140.0,0.24447
1141.0,0.18486
1142.0,0.21481
1143.0,0.29758
1144.0,0.10843
1145.0,0.13976
1146.0,0.15085
1147.0,0.056715
1148.0,0.25898
1149.0,0.20894
1150.0,0.11648
1151.0,0.19453
1152.0,0.23666
1153.0,0.22762
1154.0,0.13643
1155.0,0.29903
1156.0,0.26837
1157.0,0.3004
1158.0,0.2977
1159.0,0.32163
1160.0,0.27371
1161.0,0.33167
1162.0,0.33412
1163.0,0.44644
1164.0,0.38332
1165.0,0.3708
1166.0,0.35781
1167.0,0.39105
1168.0,0.40018
1169.0,0.40348
1170.0,0.43731
1171.0,0.4275
1172.0,0.4337
1173.0,0.43522
1174.0,0.32193
1175.0,0.43142
1176.0,0.45447
1177.0,0.4504
1178.0,0.34391
1179.0,0.46114
1180.0,0.42052
1181.0,0.43423
1182.0,0.30903
1183.0,0.41853
1184.0,0.40083
1185.0,0.38908
1186.0,0.45518
1187.0,0.43494
1188.0,0.32039
1189.0,0.39685
1190.0,0.44124
1191.0,0.42638
1192.0,0.45171
1193.0,0.4337
1194.0,0.44751
1195.0,0.42671
1196.0,0.41188
1197.0,0.45527
1198.0,0.41426
1199.0,0.34869
1200.0,0.42789
1201.0,0.41735
1202.0,0.41743
1203.0,0.41441
1204.0,0.34645
1205.0,0.41714
1206.0,0.45872
1207.0,0.41044
1208.0,0.41379
1209.0,0.39548
1210.0,0.43267
1211.0,0.40319
1212.0,0.40572
1213.0,0.44804
1214.0,0.41443
1215.0,0.40851
1216.0,0.44509
1217.0,0.43457
1218.0,0.43842
1219.0,0.42639
1220.0,0.43724
1221.0,0.44413
1222.0,0.43096
1223.0,0.424
1224.0,0.42788
1225.0,0.44141
1226.0,0.44696
1227.0,0.4136
1228.0,0.44544
